cycle,d_gc,d_copied,d_host,seg_waf,cum_waf,ec_range,d_range,cov,weargap_per_gc
1,203845,21754845,32309012,1.6733,1.641,88,88,0.541,0.001
2,195385,21365871,30215748,1.7071,1.672,190,102,0.437,0.001
3,190550,21598315,28706868,1.7524,1.697,252,62,0.394,0.001
4,205781,22157524,32168712,1.6888,1.694,275,23,0.319,0.001
5,205920,20397792,33965076,1.6006,1.674,286,11,0.311,0.000
6,194219,20171898,31101904,1.6486,1.670,329,43,0.303,0.000
7,193480,20527058,30551672,1.6719,1.670,374,45,0.278,0.000
8,194593,20068442,31304160,1.6411,1.666,404,30,0.253,0.000
9,205317,20679039,33524616,1.6168,1.661,418,14,0.243,0.000
10,208546,20191434,34864662,1.5791,1.652,435,17,0.242,0.000
11,208174,20274404,34683582,1.5846,1.645,512,77,0.230,0.000
12,193320,20059722,30976717,1.6476,1.645,582,70,0.232,0.000
